============================================================
TRAINING SUMMARY
============================================================

Total epochs: 300
Epochs range: 1 - 300

------------------------------------------------------------
TRAIN METRICS (Average)
------------------------------------------------------------
Loss: 0.3012
Dice: 0.5363
IoU:  0.4987

------------------------------------------------------------
VALIDATION METRICS (Average)
------------------------------------------------------------
Loss: 0.4011
Dice: 0.4454
IoU:  0.3945

------------------------------------------------------------
EPOCH BY EPOCH DETAILS
------------------------------------------------------------
Epoch    Train Loss   Train Dice   Val Loss     Val Dice     LR        
208      0.2800       0.5826       0.4177       0.4159       1.00e-06  
209      0.2800       0.5827       0.4040       0.4409       1.00e-06  
210      0.2800       0.5826       0.4177       0.4162       1.00e-06  
211      0.2800       0.5827       0.4325       0.3842       1.00e-06  
212      0.2799       0.5826       0.4001       0.4444       1.00e-06  
213      0.2799       0.5827       0.3810       0.4769       1.00e-06  
214      0.2799       0.5827       0.4333       0.3847       1.00e-06  
215      0.2799       0.5827       0.3769       0.4824       1.00e-06  
216      0.2799       0.5828       0.3738       0.4902       1.00e-06  
217      0.2799       0.5828       0.3981       0.4493       1.00e-06  
218      0.2799       0.5828       0.3953       0.4516       1.00e-06  
219      0.2799       0.5828       0.3990       0.4463       1.00e-06  
220      0.2799       0.5828       0.3812       0.4751       1.00e-06  
221      0.2798       0.5828       0.3925       0.4545       1.00e-06  
222      0.2798       0.5829       0.3741       0.4865       1.00e-06  
223      0.2798       0.5828       0.4196       0.4043       1.00e-06  
224      0.2798       0.5829       0.3825       0.4733       1.00e-06  
225      0.2798       0.5829       0.3801       0.4786       1.00e-06  
226      0.2798       0.5829       0.4282       0.3927       1.00e-06  
227      0.2798       0.5830       0.4136       0.4195       1.00e-06  
228      0.2798       0.5830       0.4235       0.3961       1.00e-06  
229      0.2797       0.5830       0.3746       0.4845       1.00e-06  
230      0.2797       0.5830       0.3821       0.4737       1.00e-06  
231      0.2797       0.5831       0.3739       0.4902       1.00e-06  
232      0.2797       0.5831       0.3874       0.5430       1.00e-06  
233      0.2797       0.5831       0.4187       0.4107       1.00e-06  
234      0.2797       0.5831       0.3787       0.4789       1.00e-06  
235      0.2797       0.5832       0.3808       0.4760       1.00e-06  
236      0.2796       0.5832       0.3751       0.5814       1.00e-06  
237      0.2796       0.5832       0.3793       0.4782       1.00e-06  
238      0.2796       0.5832       0.3823       0.5647       1.00e-06  
239      0.2796       0.5832       0.3742       0.5839       1.00e-06  
240      0.2796       0.5833       0.4000       0.4432       1.00e-06  
241      0.2796       0.5833       0.4167       0.4109       1.00e-06  
242      0.2796       0.5833       0.3783       0.4799       1.00e-06  
243      0.2796       0.5833       0.3769       0.4841       1.00e-06  
244      0.2796       0.5834       0.3998       0.4468       1.00e-06  
245      0.2795       0.5834       0.3929       0.4534       1.00e-06  
246      0.2795       0.5833       0.3754       0.5794       1.00e-06  
247      0.2795       0.5834       0.4185       0.4093       1.00e-06  
248      0.2795       0.5834       0.3750       0.4860       1.00e-06  
249      0.2795       0.5835       0.3935       0.6247       1.00e-06  
250      0.2795       0.5834       0.3765       0.4801       1.00e-06  
251      0.2795       0.5835       0.3841       0.4710       1.00e-06  
252      0.2794       0.5835       0.3808       0.4773       1.00e-06  
253      0.2794       0.5835       0.3993       0.4446       1.00e-06  
254      0.2794       0.5835       0.4077       0.4258       1.00e-06  
255      0.2794       0.5836       0.3833       0.4724       1.00e-06  
256      0.2794       0.5836       0.3991       0.4494       1.00e-06  
257      0.2794       0.5836       0.3792       0.4786       1.00e-06  
258      0.2794       0.5835       0.3792       0.4781       1.00e-06  
259      0.2794       0.5836       0.3758       0.4842       1.00e-06  
260      0.2794       0.5836       0.3762       0.4838       1.00e-06  
261      0.2794       0.5836       0.3896       0.4639       1.00e-06  
262      0.2793       0.5836       0.4020       0.4423       1.00e-06  
263      0.2793       0.5837       0.3801       0.4788       1.00e-06  
264      0.2793       0.5837       0.4073       0.4297       1.00e-06  
265      0.2793       0.5837       0.4386       0.3741       1.00e-06  
266      0.2793       0.5837       0.3749       0.4889       1.00e-06  
267      0.2793       0.5837       0.3772       0.4826       1.00e-06  
268      0.2793       0.5838       0.3757       0.4856       1.00e-06  
269      0.2792       0.5838       0.4062       0.4315       1.00e-06  
270      0.2792       0.5838       0.3795       0.4787       1.00e-06  
271      0.2792       0.5838       0.3969       0.4502       1.00e-06  
272      0.2792       0.5838       0.4233       0.4028       1.00e-06  
273      0.2792       0.5839       0.4063       0.4357       1.00e-06  
274      0.2792       0.5838       0.3799       0.4771       1.00e-06  
275      0.2792       0.5838       0.3892       0.4609       1.00e-06  
276      0.2792       0.5839       0.4074       0.4302       1.00e-06  
277      0.2792       0.5839       0.3805       0.4748       1.00e-06  
278      0.2791       0.5840       0.3837       0.4707       1.00e-06  
279      0.2791       0.5839       0.3810       0.4766       1.00e-06  
280      0.2791       0.5839       0.4081       0.4258       1.00e-06  
281      0.2791       0.5839       0.3735       0.4891       1.00e-06  
282      0.2791       0.5840       0.4359       0.3786       1.00e-06  
283      0.2791       0.5840       0.4034       0.4414       1.00e-06  
284      0.2791       0.5840       0.3930       0.4569       1.00e-06  
285      0.2791       0.5840       0.3750       0.4837       1.00e-06  
286      0.2791       0.5840       0.3832       0.4701       1.00e-06  
287      0.2790       0.5841       0.3797       0.4786       1.00e-06  
288      0.2790       0.5841       0.3753       0.4843       1.00e-06  
289      0.2790       0.5841       0.3831       0.4706       1.00e-06  
290      0.2790       0.5841       0.4046       0.4371       1.00e-06  
291      0.2790       0.5841       0.3795       0.4772       1.00e-06  
292      0.2790       0.5841       0.3796       0.4775       1.00e-06  
293      0.2790       0.5841       0.4216       0.4029       1.00e-06  
294      0.2790       0.5842       0.4028       0.4421       1.00e-06  
295      0.2789       0.5842       0.3782       0.5754       1.00e-06  
296      0.2789       0.5842       0.3722       0.4902       1.00e-06  
297      0.2789       0.5842       0.3971       0.4484       1.00e-06  
298      0.2789       0.5842       0.3866       0.4651       1.00e-06  
299      0.2789       0.5842       0.4137       0.4242       1.00e-06  
300      0.2789       0.5843       0.3805       0.4758       1.00e-06  

============================================================
Best Train Dice: 0.5843 at epoch 300
Best Val Dice: 0.6591 at epoch 92
Best Val Loss: 0.3690 at epoch 63
